                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.8989,                 1.0854,                 1.7281,                0.79084,                0.44737,                0.34303,                0.26035,                 3.7284,                 1.7411,                 2.2428,              0.0014855,              0.0014855,              0.0014855
                     36,                 2.9124,                 1.0332,                 1.7237,                0.88544,                    0.5,                0.41029,                0.29627,                 3.2146,                 1.6553,                 1.8856,                0.00148,                0.00148,                0.00148
                     37,                   2.96,                 1.0876,                 1.7549,                0.88272,                0.48684,                0.39328,                0.26798,                 3.2925,                 1.6179,                  1.951,              0.0014745,              0.0014745,              0.0014745
                     38,                 2.8275,                 1.0424,                 1.6999,                0.83757,                0.34211,                0.34102,                0.19726,                  3.872,                 2.2424,                 2.4611,               0.001469,               0.001469,               0.001469
                     39,                 2.8815,                 1.0656,                 1.7053,                0.88315,                    0.5,                0.40541,                0.31873,                 3.2403,                 1.2719,                 1.8905,              0.0014635,              0.0014635,              0.0014635
                     40,                 2.8216,                 1.0093,                 1.6917,                  0.795,                0.38158,                0.35168,                0.22791,                  3.815,                 1.8523,                 2.2646,               0.001458,               0.001458,               0.001458
                     41,                  2.843,                 0.9909,                 1.7141,                0.87755,                    0.5,                0.41418,                0.30001,                 3.9548,                 1.5967,                 2.5139,              0.0014525,              0.0014525,              0.0014525
                     42,                 2.8148,                 1.0172,                 1.6753,                0.89298,                    0.5,                0.47322,                0.31603,                 3.5945,                 1.8251,                 2.0985,               0.001447,               0.001447,               0.001447
                     43,                 2.7194,                0.91261,                 1.6632,                0.88727,                0.49729,                0.41222,                0.30614,                 3.3674,                 1.5277,                 2.0005,              0.0014415,              0.0014415,              0.0014415
                     44,                 2.6948,                 0.9555,                 1.6313,                0.88008,                    0.5,                0.40458,                0.31269,                 3.4025,                 1.5572,                 2.0112,               0.001436,               0.001436,               0.001436
                     45,                 2.7141,                 1.0065,                  1.613,                0.88642,                    0.5,                0.40424,                0.32986,                 3.1879,                  1.237,                 1.9929,              0.0014305,              0.0014305,              0.0014305
                     46,                 2.6963,                0.91444,                   1.64,                0.88711,                    0.5,                0.42572,                0.33768,                 3.4848,                  1.384,                 2.0165,               0.001425,               0.001425,               0.001425
                     47,                 2.6638,                0.94588,                 1.6099,                0.87797,                0.44832,                0.37597,                0.29665,                 3.3259,                 1.4925,                 2.0599,              0.0014195,              0.0014195,              0.0014195
                     48,                 2.6843,                0.91025,                 1.6019,                0.87374,                    0.5,                0.39224,                0.30575,                 3.1833,                 1.4143,                 1.9323,              0.0014139,              0.0014139,              0.0014139
                     49,                 2.7247,                0.99386,                 1.6214,                0.88666,                    0.5,                0.42428,                0.33707,                 3.3404,                 1.1421,                  1.993,              0.0014084,              0.0014084,              0.0014084
                     50,                 2.6536,                0.88536,                 1.6077,                0.88356,                0.48684,                0.40125,                0.27176,                 3.6925,                 1.3669,                 2.2575,              0.0014029,              0.0014029,              0.0014029
