               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.023641,            0.021793,             0.00216,             0.90341,                 0.5,             0.45916,             0.37016,            0.028185,            0.010222,           0.0047634,            0.008845,            0.008845,            0.008845
                  37,            0.023699,             0.02163,           0.0020374,             0.89573,             0.49937,             0.43776,             0.32473,            0.030261,           0.0096335,           0.0070414,            0.008812,            0.008812,            0.008812
                  38,            0.023408,            0.019668,           0.0019612,             0.87485,                 0.5,             0.54037,             0.35248,            0.031103,           0.0094051,           0.0046549,            0.008779,            0.008779,            0.008779
                  39,            0.022851,            0.020297,           0.0022048,             0.90296,                 0.5,             0.44869,             0.32217,            0.029227,           0.0090227,           0.0044748,            0.008746,            0.008746,            0.008746
                  40,            0.023788,            0.020513,           0.0019553,             0.90309,                 0.5,             0.46112,             0.37876,            0.032949,           0.0092716,          0.00081844,            0.008713,            0.008713,            0.008713
                  41,            0.023933,            0.020551,           0.0023091,             0.90185,                 0.5,             0.45325,             0.35317,            0.032212,           0.0088086,           0.0012774,             0.00868,             0.00868,             0.00868
                  42,             0.02233,             0.02047,           0.0018263,             0.90301,             0.47368,             0.45655,              0.3795,            0.030855,           0.0093651,           0.0047882,            0.008647,            0.008647,            0.008647
                  43,            0.022379,            0.020363,           0.0023088,             0.90274,                 0.5,             0.42857,             0.35723,            0.029757,           0.0085597,           0.0046711,            0.008614,            0.008614,            0.008614
                  44,            0.021783,             0.01945,           0.0016723,             0.89436,                 0.5,             0.40686,             0.32692,            0.028033,           0.0093431,           0.0058556,            0.008581,            0.008581,            0.008581
                  45,              0.0219,            0.020125,           0.0017327,             0.91916,                 0.5,             0.46627,             0.34772,            0.031652,           0.0095639,           0.0032509,            0.008548,            0.008548,            0.008548
                  46,            0.022294,            0.020273,           0.0016926,             0.94048,                 0.5,             0.46883,             0.34959,            0.027689,           0.0087662,           0.0057573,            0.008515,            0.008515,            0.008515
                  47,            0.021341,            0.020243,           0.0017207,             0.90011,                 0.5,             0.46573,             0.38151,            0.030659,           0.0091248,            0.002944,            0.008482,            0.008482,            0.008482
                  48,            0.021309,            0.020686,           0.0015835,             0.92744,                 0.5,             0.46696,              0.3879,            0.034858,           0.0089555,             0.00488,            0.008449,            0.008449,            0.008449
                  49,             0.02071,            0.020491,           0.0013519,              0.9033,                 0.5,             0.45385,             0.37929,            0.029338,           0.0088634,           0.0044596,            0.008416,            0.008416,            0.008416
                  50,            0.020635,            0.020058,           0.0016206,             0.90187,             0.48501,             0.44752,             0.35127,            0.029742,           0.0087695,           0.0026491,            0.008383,            0.008383,            0.008383
                  51,            0.019835,            0.019654,           0.0016583,             0.90406,                 0.5,             0.45627,             0.36749,            0.030278,           0.0080132,           0.0021465,             0.00835,             0.00835,             0.00835
                  52,            0.020836,            0.020036,           0.0015277,             0.90871,                 0.5,             0.45783,             0.34898,            0.030609,           0.0086102,           0.0016613,            0.008317,            0.008317,            0.008317
                  53,            0.020925,            0.019267,           0.0016539,             0.91207,                 0.5,             0.44793,             0.36985,            0.028244,            0.008533,           0.0012424,            0.008284,            0.008284,            0.008284
                  54,            0.020424,            0.019339,           0.0015545,             0.91138,                 0.5,             0.44343,             0.37111,            0.035206,           0.0079741,          0.00084744,            0.008251,            0.008251,            0.008251
                  55,            0.020068,            0.019591,           0.0015347,              0.8891,                 0.5,             0.51673,             0.40128,            0.031248,           0.0090623,          0.00063858,            0.008218,            0.008218,            0.008218
                  56,            0.020944,            0.019782,           0.0017162,             0.90115,                 0.5,             0.44927,             0.37057,             0.03391,           0.0087991,           0.0006629,            0.008185,            0.008185,            0.008185
                  57,            0.020803,            0.019575,           0.0015797,             0.90683,                 0.5,             0.45436,               0.361,            0.029681,            0.010529,           0.0088455,            0.008152,            0.008152,            0.008152
                  58,            0.020651,            0.019914,           0.0015771,             0.91234,                 0.5,             0.54532,             0.40838,            0.027666,           0.0085993,           0.0014503,            0.008119,            0.008119,            0.008119
                  59,             0.02082,            0.019842,            0.001466,             0.91519,                 0.5,             0.46528,             0.36756,            0.026171,           0.0097861,           0.0034969,            0.008086,            0.008086,            0.008086
                  60,            0.020052,            0.020498,           0.0016113,              0.9121,                 0.5,              0.4617,             0.35784,            0.033967,           0.0088224,          0.00054979,            0.008053,            0.008053,            0.008053
                  61,            0.020419,            0.018907,           0.0013695,             0.90806,                 0.5,             0.47814,              0.3921,            0.029646,           0.0087762,          0.00081558,             0.00802,             0.00802,             0.00802
                  62,            0.018792,            0.019753,           0.0015495,             0.90713,                 0.5,             0.45779,             0.36616,            0.028767,           0.0082541,           0.0012699,            0.007987,            0.007987,            0.007987
