                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0504,                 1.0053,                 1.6053,                0.88357,                0.39474,                 0.3741,                0.26629,                  1.258,                  1.789,                 1.9729,                0.00148,                0.00148,                0.00148
                     36,                 1.0694,                0.98616,                 1.6194,                0.87617,                0.47973,                0.41453,                0.31005,                 1.1577,                 1.3795,                 1.8234,              0.0014745,              0.0014745,              0.0014745
                     37,                 1.0409,                0.95613,                 1.5988,                0.90821,                0.46822,                0.43525,                 0.3001,                 1.2668,                 1.4728,                 1.9828,               0.001469,               0.001469,               0.001469
                     38,                 1.0455,                0.99988,                 1.6068,                0.89021,                0.40789,                0.41404,                0.27507,                 1.4807,                 1.4853,                 2.3729,              0.0014635,              0.0014635,              0.0014635
                     39,                 1.0457,                 0.9898,                 1.5835,                0.76381,                0.45564,                0.33406,                0.20913,                 1.4239,                 1.7898,                 2.3744,               0.001458,               0.001458,               0.001458
                     40,                0.99819,                0.96287,                 1.5659,                0.84951,                0.39731,                0.36079,                0.24521,                  1.363,                 1.7027,                 2.0898,              0.0014525,              0.0014525,              0.0014525
                     41,                 1.0107,                0.91644,                 1.5526,                0.78591,                0.47368,                0.34144,                0.18712,                 1.5109,                 1.7231,                  2.341,               0.001447,               0.001447,               0.001447
                     42,                0.97196,                0.90639,                 1.5379,                 0.8949,                0.46053,                0.40805,                0.29522,                 1.2039,                 1.2827,                 2.0274,              0.0014415,              0.0014415,              0.0014415
                     43,                 1.0032,                0.94142,                 1.5634,                0.86622,                0.44737,                0.40065,                0.27458,                 1.2736,                 1.3447,                 2.0728,               0.001436,               0.001436,               0.001436
                     44,                0.99816,                 1.0021,                 1.5368,                0.88293,                0.47344,                 0.4252,                 0.3027,                 1.2536,                  1.155,                 2.0537,              0.0014305,              0.0014305,              0.0014305
                     45,                0.95089,                0.90634,                 1.5041,                0.85865,                0.46053,                0.39845,                0.29853,                 1.1817,                 1.3999,                 1.9882,               0.001425,               0.001425,               0.001425
                     46,                   0.94,                0.91991,                 1.5102,                0.88413,                0.44737,                0.40219,                0.25359,                 1.3451,                  1.472,                  2.171,              0.0014195,              0.0014195,              0.0014195
                     47,                0.94285,                 0.9536,                 1.5019,                0.89428,                0.44171,                0.42421,                0.33334,                 1.1912,                 1.3084,                 2.0588,              0.0014139,              0.0014139,              0.0014139
                     48,                 0.9026,                0.86648,                 1.4918,                0.85169,                0.37451,                0.39486,                0.25798,                 1.2833,                   1.38,                 2.1546,              0.0014084,              0.0014084,              0.0014084
                     49,                0.97373,                0.91522,                 1.5519,                0.89526,                    0.5,                0.45738,                0.34893,                  1.093,                 1.2478,                 1.8191,              0.0014029,              0.0014029,              0.0014029
                     50,                0.93121,                0.88905,                 1.4941,                0.90276,                0.49057,                 0.4356,                0.31328,                 1.3057,                   1.27,                 2.0787,              0.0013974,              0.0013974,              0.0013974
                     51,                0.93568,                0.92472,                 1.4852,                0.89378,                0.42105,                0.40526,                0.27169,                 1.2957,                 1.4884,                 2.1864,              0.0013919,              0.0013919,              0.0013919
                     52,                0.88035,                0.88065,                 1.4576,                 0.8761,                0.47935,                0.43817,                0.33831,                 1.2044,                 1.3468,                 1.9063,              0.0013864,              0.0013864,              0.0013864
                     53,                0.87021,                0.87775,                 1.4692,                0.86884,                0.47368,                0.41905,                0.31805,                 1.0852,                 1.3305,                 1.8037,              0.0013809,              0.0013809,              0.0013809
                     54,                0.86832,                0.81934,                 1.4574,                0.89991,                0.44737,                0.42405,                 0.3007,                 1.3103,                 1.5076,                 2.0925,              0.0013754,              0.0013754,              0.0013754
                     55,                0.86316,                0.83579,                 1.4738,                0.88665,                    0.5,                 0.4316,                0.33907,                 1.0171,                 1.2201,                 1.7467,              0.0013699,              0.0013699,              0.0013699
                     56,                0.89735,                0.84333,                 1.4707,                0.90238,                    0.5,                0.42499,                0.27854,                 1.1933,                 1.0783,                 2.0288,              0.0013644,              0.0013644,              0.0013644
                     57,                  0.879,                0.79491,                 1.4709,                0.88825,                0.45721,                0.42924,                0.30628,                 1.1847,                 1.3546,                 1.9716,              0.0013589,              0.0013589,              0.0013589
                     58,                0.84919,                0.81464,                 1.4654,                0.87979,                0.49885,                0.40964,                0.31219,                 1.0702,                 1.3939,                 1.7173,              0.0013534,              0.0013534,              0.0013534
                     59,                0.86952,                0.82706,                 1.4622,                0.88114,                0.35526,                0.37108,                 0.2414,                 1.3539,                 1.3465,                 1.9874,              0.0013479,              0.0013479,              0.0013479
