                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.93586,                 0.8881,                 1.5158,                0.80838,                    0.5,                0.40266,                0.34776,                 1.0519,                 1.3362,                 1.8421,                0.00148,                0.00148,                0.00148
                     36,                0.96427,                0.90748,                 1.5364,                0.87924,                    0.5,                0.49259,                0.36362,                 1.0826,                 1.4269,                  1.815,              0.0014745,              0.0014745,              0.0014745
                     37,                0.96061,                0.87756,                 1.5385,                0.84945,                0.47368,                0.44057,                0.29808,                  1.472,                 1.6304,                 2.1699,               0.001469,               0.001469,               0.001469
                     38,                0.95073,                0.88156,                 1.5359,                0.87984,                0.49915,                 0.4569,                0.31216,                  1.265,                 1.2472,                 1.8372,              0.0014635,              0.0014635,              0.0014635
                     39,                 1.0336,                 0.9662,                 1.5629,                0.88955,                0.46411,                0.50651,                0.32677,                 1.2315,                 1.4886,                 1.8907,               0.001458,               0.001458,               0.001458
                     40,                0.92625,                0.87911,                 1.5353,                0.89006,                0.47368,                0.43315,                0.33801,                 1.1163,                 1.4786,                 1.7175,              0.0014525,              0.0014525,              0.0014525
                     41,                0.94516,                0.85533,                 1.5164,                0.34163,                 0.5625,                0.44921,                0.28541,                 1.3299,                 1.5478,                  1.921,               0.001447,               0.001447,               0.001447
                     42,                0.91622,                0.87187,                 1.4949,                0.86759,                0.47491,                0.43111,                0.33302,                 1.0689,                 1.3841,                 1.7851,              0.0014415,              0.0014415,              0.0014415
                     43,                0.95305,                0.89887,                 1.5201,                0.88802,                    0.5,                0.47041,                0.37352,                0.99852,                 1.3836,                 1.6564,               0.001436,               0.001436,               0.001436
                     44,                0.93486,                0.92383,                 1.4929,                0.89544,                0.49768,                0.43871,                0.34302,                  1.164,                 1.3593,                 1.7273,              0.0014305,              0.0014305,              0.0014305
                     45,                 0.9257,                0.84319,                 1.4867,                0.86255,                0.46053,                0.48784,                0.35527,                 1.1013,                 1.4724,                 1.8298,               0.001425,               0.001425,               0.001425
                     46,                0.86225,                0.82759,                  1.464,                0.88641,                    0.5,                0.44942,                0.34222,                  1.113,                 1.1297,                 1.8222,              0.0014195,              0.0014195,              0.0014195
                     47,                0.89245,                0.87123,                 1.4792,                0.87892,                0.48684,                0.46251,                0.29522,                 1.2164,                 1.6409,                 2.0216,              0.0014139,              0.0014139,              0.0014139
                     48,                0.85025,                0.79376,                 1.4662,                 0.8836,                0.48684,                0.45557,                0.30492,                 1.4908,                 1.4303,                 2.2501,              0.0014084,              0.0014084,              0.0014084
                     49,                0.89719,                0.86348,                 1.4989,                0.88533,                0.47368,                0.41925,                0.32092,                 1.1508,                 1.2959,                 1.7497,              0.0014029,              0.0014029,              0.0014029
                     50,                0.85451,                 0.8062,                 1.4428,                0.79575,                0.48684,                0.30807,                0.19135,                 1.4676,                 1.6677,                 2.3118,              0.0013974,              0.0013974,              0.0013974
                     51,                0.88069,                0.84873,                  1.458,                0.84977,                0.47368,                0.40622,                0.23732,                 1.4152,                 1.4216,                 2.2049,              0.0013919,              0.0013919,              0.0013919
                     52,                0.83623,                0.82802,                 1.4357,                0.89432,                    0.5,                  0.425,                0.33472,                 1.0282,                 1.1928,                 1.6894,              0.0013864,              0.0013864,              0.0013864
                     53,                0.82329,                 0.8016,                 1.4336,                0.86614,                0.47368,                0.40756,                0.32838,                 1.0382,                 1.3262,                 1.7237,              0.0013809,              0.0013809,              0.0013809
                     54,                0.78466,                0.74725,                 1.3985,                0.89553,                    0.5,                0.43707,                0.30798,                   1.28,                  1.199,                 1.7164,              0.0013754,              0.0013754,              0.0013754
                     55,                0.83419,                0.79684,                 1.4678,                0.90112,                    0.5,                0.43516,                 0.3248,                 1.0853,                  1.196,                 1.7416,              0.0013699,              0.0013699,              0.0013699
                     56,                0.83952,                0.77857,                 1.4373,                0.80751,                0.47368,                0.41776,                0.30836,                 1.3381,                 1.4756,                 1.9581,              0.0013644,              0.0013644,              0.0013644
                     57,                0.82485,                0.74964,                 1.4519,                0.89567,                0.47368,                0.47083,                0.31946,                 1.3156,                 1.3374,                 2.2581,              0.0013589,              0.0013589,              0.0013589
                     58,                0.77425,                0.73696,                 1.4212,                0.85069,                0.48684,                0.43341,                 0.3524,                  1.123,                 1.3767,                 1.7718,              0.0013534,              0.0013534,              0.0013534
                     59,                0.81485,                0.76096,                  1.417,                  0.519,                  0.625,                0.52653,                0.38412,                0.97775,                 1.3096,                 1.5193,              0.0013479,              0.0013479,              0.0013479
                     60,                0.79027,                0.77105,                 1.3967,                0.56263,                  0.625,                0.57113,                 0.3854,                0.99043,                  1.044,                 1.5754,              0.0013424,              0.0013424,              0.0013424
                     61,                0.84562,                0.78237,                 1.4289,                0.89637,                0.48684,                0.45784,                 0.3535,                 1.1722,                 1.3764,                 1.8998,              0.0013369,              0.0013369,              0.0013369
                     62,                0.84092,                0.78682,                 1.4302,                0.89269,                    0.5,                0.44801,                0.34709,                 1.0888,                 1.0348,                 1.7332,              0.0013314,              0.0013314,              0.0013314
                     63,                0.80024,                 0.7809,                 1.4159,                0.76612,                 0.5625,                0.51954,                0.35848,                0.95907,                0.89221,                 1.5635,              0.0013259,              0.0013259,              0.0013259
                     64,                0.77755,                0.72584,                 1.3905,                0.58525,                0.61659,                0.56211,                0.33022,                  1.223,                 1.2184,                 1.9562,              0.0013204,              0.0013204,              0.0013204
                     65,                0.73339,                0.70161,                 1.3677,                0.89152,                0.48684,                0.44728,                0.35555,                 1.2009,                 1.2024,                 1.8899,              0.0013149,              0.0013149,              0.0013149
                     66,                 0.7855,                0.69841,                 1.4068,                0.90152,                0.48289,                0.52198,                0.39491,                0.99885,                 1.2262,                 1.7286,              0.0013094,              0.0013094,              0.0013094
                     67,                0.79841,                0.71431,                 1.4098,                0.35282,                0.57507,                0.52997,                0.37847,                 1.1541,                 1.2388,                 1.7572,              0.0013039,              0.0013039,              0.0013039
                     68,                0.74092,                  0.708,                 1.3803,                0.90235,                    0.5,                0.52338,                0.38153,                0.92942,                 1.0121,                 1.5784,              0.0012984,              0.0012984,              0.0012984
                     69,                0.75969,                0.71389,                 1.3966,                0.80987,                    0.5,                0.38607,                0.22786,                 1.4125,                 1.6244,                 2.1666,              0.0012929,              0.0012929,              0.0012929
                     70,                0.79626,                0.75142,                 1.4071,                  0.659,                  0.625,                0.56334,                 0.3886,                0.89043,                0.87258,                 1.4987,              0.0012874,              0.0012874,              0.0012874
                     71,                0.73381,                0.69509,                 1.3673,                0.90746,                0.48684,                0.45652,                0.32249,                 1.4078,                  1.484,                 2.1093,              0.0012819,              0.0012819,              0.0012819
                     72,                0.75696,                 0.7024,                  1.378,                0.92204,                0.49866,                 0.4579,                0.31835,                  1.306,                 1.2817,                 1.9958,              0.0012764,              0.0012764,              0.0012764
                     73,                0.76388,                0.72433,                 1.3815,                0.62186,                0.61184,                0.56796,                0.37929,                 1.0249,                0.98408,                 1.5864,              0.0012709,              0.0012709,              0.0012709
                     74,                0.73248,                0.73186,                 1.3682,                0.91029,                0.48684,                0.45778,                0.31568,                 1.2994,                 1.3265,                 1.9774,              0.0012654,              0.0012654,              0.0012654
                     75,                0.77517,                0.72956,                 1.3845,                0.61081,                  0.625,                0.55113,                0.40922,                0.99122,                 0.9899,                 1.5889,              0.0012599,              0.0012599,              0.0012599
                     76,                0.71455,                0.70328,                 1.3306,                0.90577,                    0.5,                0.49185,                 0.3329,                 1.3068,                 1.2914,                 2.0596,              0.0012544,              0.0012544,              0.0012544
                     77,                 0.7295,                0.70256,                 1.3629,                0.88511,                    0.5,                 0.4757,                0.32405,                 1.2251,                 1.1382,                 1.9342,              0.0012489,              0.0012489,              0.0012489
                     78,                 0.7728,                0.68506,                 1.3733,                 0.7095,                  0.625,                0.57362,                0.42003,                  1.066,                0.99501,                 1.6876,              0.0012434,              0.0012434,              0.0012434
