                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.86451,                0.83868,                 1.4651,                0.89665,                    0.5,                0.41735,                0.33199,                 1.0278,                 1.1849,                 1.6379,                0.00148,                0.00148,                0.00148
                     36,                 0.8838,                0.83093,                 1.4746,                0.88129,                    0.5,                0.41598,                 0.3311,                 1.0282,                  1.162,                 1.6773,              0.0014745,              0.0014745,              0.0014745
                     37,                0.89031,                0.83413,                 1.4849,                0.87957,                0.49768,                0.40065,                0.32422,                 1.0082,                 1.1258,                 1.6903,               0.001469,               0.001469,               0.001469
                     38,                0.89685,                0.85157,                 1.4931,                0.88665,                    0.5,                 0.4281,                0.33929,                0.98008,                0.99985,                 1.6474,              0.0014635,              0.0014635,              0.0014635
                     39,                0.87763,                0.84911,                 1.4528,                0.89702,                 0.4566,                0.42825,                0.35064,                 1.0011,                  1.348,                 1.6108,               0.001458,               0.001458,               0.001458
                     40,                0.83594,                 0.8052,                 1.4665,                0.88447,                0.48684,                0.42401,                0.31473,                 1.0818,                 1.1974,                 1.7833,              0.0014525,              0.0014525,              0.0014525
                     41,                0.86791,                0.79161,                 1.4543,                0.88694,                    0.5,                0.43469,                0.35146,                0.94204,                 1.0186,                 1.5897,               0.001447,               0.001447,               0.001447
                     42,                0.82589,                0.80497,                 1.4308,                0.88725,                    0.5,                0.44363,                0.37505,                0.88841,                0.99666,                  1.488,              0.0014415,              0.0014415,              0.0014415
                     43,                0.85562,                0.81727,                 1.4465,                0.90164,                0.48363,                0.41235,                0.27177,                 1.2658,                 1.3482,                 2.0414,               0.001436,               0.001436,               0.001436
                     44,                0.85376,                0.85168,                 1.4305,                 0.8454,                0.44737,                0.39461,                0.22675,                 1.5214,                 1.5128,                 2.2249,              0.0014305,              0.0014305,              0.0014305
