                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.89231,                0.80636,                 1.5116,                0.90214,                0.35526,                0.38525,                0.26645,                 1.4589,                 1.6353,                 2.2802,                0.00148,                0.00148,                0.00148
                     36,                 0.9014,                0.81081,                 1.5094,                0.78694,                    0.5,                0.38809,                0.24321,                 1.3654,                  1.332,                 2.0433,              0.0014745,              0.0014745,              0.0014745
                     37,                0.91273,                0.79655,                 1.5245,                0.89492,                0.49457,                0.43971,                0.34893,                 1.1216,                 1.0885,                 1.7686,               0.001469,               0.001469,               0.001469
                     38,                0.95857,                0.83492,                 1.5475,                0.89766,                0.40789,                0.41877,                0.28304,                 1.2675,                 1.3706,                 1.8754,              0.0014635,              0.0014635,              0.0014635
                     39,                0.89059,                0.82674,                 1.4832,                0.87641,                0.43421,                0.43014,                0.33883,                 1.0466,                 1.2215,                  1.721,               0.001458,               0.001458,               0.001458
                     40,                0.86468,                0.80251,                 1.4996,                0.89797,                0.46193,                0.43749,                0.33953,                 1.2185,                 1.3269,                 1.8343,              0.0014525,              0.0014525,              0.0014525
                     41,                0.90663,                0.79437,                 1.4963,                0.87698,                0.48684,                0.43658,                0.33221,                 1.1508,                 1.2842,                 1.8405,               0.001447,               0.001447,               0.001447
                     42,                0.87424,                0.79403,                 1.4789,                0.91251,                 0.4964,                0.43789,                0.30274,                  1.293,                 1.3122,                 2.0711,              0.0014415,              0.0014415,              0.0014415
                     43,                0.89814,                0.80483,                 1.4973,                0.82315,                0.40789,                0.40596,                 0.2462,                 1.3466,                 1.5403,                 2.0378,               0.001436,               0.001436,               0.001436
                     44,                0.86821,                 0.8176,                  1.448,                0.88545,                    0.5,                 0.4321,                0.33421,                 1.1224,                 1.1303,                 1.7967,              0.0014305,              0.0014305,              0.0014305
                     45,                0.86488,                0.79012,                 1.4535,                0.90355,                0.49554,                 0.4274,                0.33826,                 1.0511,                 1.2172,                 1.7481,               0.001425,               0.001425,               0.001425
